PeakID (cmd=annotatePeaks.pl no_peptide_1um_pcc_superenhancers_merged.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr10-54038805-1	chr10	53985175	54092436	+	1251.199951	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_008548, intron 2 of 12)	intron (NM_008548, intron 2 of 12)	36991	NM_008548	17155	Mm.117294	NM_008548	ENSMUSG00000003746	Man1a	Man1a1|PCR1	mannosidase 1, alpha	protein-coding
Merged-chr6-97312975-1	chr6	97271143	97354808	+	1251.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_145148, intron 12 of 23)	AT_rich|Low_complexity|Low_complexity	-60195	NM_001081157	320502	Mm.68163	NM_001081157	ENSMUSG00000044086	Lmod3	5430424A14Rik	leiomodin 3 (fetal)	protein-coding
Merged-chr1-86460589-1	chr1	86391326	86529852	+	1250.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	URR1B|DNA|hAT-Charlie	34260	NM_027966	71863	Mm.179627	NM_027966	ENSMUSG00000036574	1700019O17Rik	-	RIKEN cDNA 1700019O17 gene	protein-coding
Merged-chr6-90726660-2	chr6	90653254	90809870	+	1248.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001134384, intron 1 of 13)	intron (NM_001134384, intron 1 of 13)	-15033	NM_001134383	232227	Mm.196943	NM_182784	ENSMUSG00000034312	Iqsec1	AW561907|BC026481|BRAG2|D6Ertd349e|cI-43	IQ motif and Sec7 domain 1	protein-coding
Merged-chr2-173043426-2	chr2	172963373	173096845	+	1247.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_019547, intron 3 of 3)	intron (NM_019547, intron 3 of 3)	8207	NM_019547	56190	Mm.485782	NM_019547	ENSMUSG00000027510	Rbm38	Rnpc1|Seb4|Seb4l	RNA binding motif protein 38	protein-coding
Merged-chr18-70585200-2	chr18	70520969	70652745	+	1245.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_010773, intron 2 of 6)	intron (NM_010773, intron 2 of 6)	18565	NM_010773	17191	Mm.322	NM_010773	ENSMUSG00000024513	Mbd2	MBD2a	methyl-CpG binding domain protein 2	protein-coding
Merged-chr6-65590492-1	chr6	65508038	65672947	+	1245.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	promoter-TSS (NM_001001495)	promoter-TSS (NM_001001495)	94	NM_001001495	414084	Mm.117558	NM_001001495	ENSMUSG00000044162	Tnip3	9030611K07Rik|ABIN-3|LIND	TNFAIP3 interacting protein 3	protein-coding
Merged-chr9-109041237-2	chr9	108983196	109096312	+	1241.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_025858, intron 1 of 5)	intron (NM_025858, intron 1 of 5)	1187	NM_025858	66940	Mm.196533	NM_025858	ENSMUSG00000025647	Shisa5	2310008D10Rik|6430628I05Rik|Scotin|mShisa5	shisa homolog 5 (Xenopus laevis)	protein-coding
Merged-chr4-136131192-1	chr4	136071588	136190797	+	1241.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-12630	NM_008321	15903	Mm.110	NM_008321		Id3	Hlh462|Idb3|bHLHb25	inhibitor of DNA binding 3	protein-coding
Merged-chr11-23753322-1	chr11	23682693	23823952	+	1240.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_009044, intron 3 of 9)	intron (NM_009044, intron 3 of 9)	17648	NM_009044	19696	Mm.4869	NM_009044	ENSMUSG00000020275	Rel	c-Rel	reticuloendotheliosis oncogene	protein-coding
Merged-chr13-20171334-1	chr13	20089975	20252693	+	1240.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_080288, intron 1 of 21)	intron (NM_080288, intron 1 of 21)	80827	NM_080288	140580	Mm.342392	NM_080288	ENSMUSG00000041112	Elmo1	6330578D22Rik|C230095H21Rik|CED-12	engulfment and cell motility 1	protein-coding
Merged-chr10-7826530-2	chr10	7780289	7860180	+	1239.750000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_026141, intron 12 of 12)	intron (NM_026141, intron 12 of 12)	-12236	NM_172785	237256	Mm.140055	NM_172785	ENSMUSG00000039981	Zc3h12d	D730019B10Rik	zinc finger CCCH type containing 12D	protein-coding
Merged-chr7-74486942-1	chr7	74416567	74557317	+	1238.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001038643, intron 2 of 10)	intron (NM_001038643, intron 2 of 10)	67838	NM_023908	108116	Mm.425467	NM_023908	ENSMUSG00000025790	Slco3a1	5830414C08Rik|Anr1|MJAM|OATP-D|R75096|Slc21a11	solute carrier organic anion transporter family, member 3a1	protein-coding
Merged-chr13-37608915-1	chr13	37518866	37698964	+	1227.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Charlie2b|DNA|hAT-Charlie	-217123	NM_026830	68750	Mm.491109	NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|AA414966|B930013M22Rik	ras responsive element binding protein 1	protein-coding
Merged-chr12-104996016-1	chr12	104954822	105037210	+	1226.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_172500, intron 1 of 16)	RSINE1|SINE|B4	2661	NM_001042699	212073	Mm.212688	NM_172500	ENSMUSG00000054150	Syne3	nesprin-3	spectrin repeat containing, nuclear envelope family member 3	protein-coding
Merged-chr12-3836214-2	chr12	3739325	3913852	+	1221.050049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001271753, intron 1 of 22)	RSINE1|SINE|B4	19428	NM_001271753	13435	Mm.5001	NM_007872	ENSMUSG00000020661	Dnmt3a	MmuIIIA	DNA methyltransferase 3A	protein-coding
Merged-chr17-34967863-1	chr17	34870447	35065279	+	1218.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	ID|SINE|ID	4293	NM_010479	193740	Mm.6388	NM_010479	ENSMUSG00000091971	Hspa1a	Hsp70-3|Hsp70.3|Hsp72|hsp68|hsp70A1	heat shock protein 1A	protein-coding
Merged-chr6-143125074-1	chr6	143051538	143198611	+	1217.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-24922	NM_029081	74741	Mm.130260	NM_029081	ENSMUSG00000030279	C2cd5	5730419I09Rik|C030008B15Rik|CDP138	C2 calcium-dependent domain containing 5	protein-coding
Merged-chr16-95779815-2	chr16	95701679	95876028	+	1215.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	L1Md_T|LINE|L1	86446	NM_011809	23872	Mm.290207	NM_011809	ENSMUSG00000022895	Ets2	AU022856|Ets-2	E26 avian leukemia oncogene 2, 3' domain	protein-coding
Merged-chr9-114447714-1	chr9	114385176	114510252	+	1214.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NR_108101, intron 9 of 14)	intron (NR_108101, intron 9 of 14)	46619	NM_001200002	100504715	Mm.290516	NM_001200002	ENSMUSG00000079260	Tmppe	-	transmembrane protein with metallophosphoesterase domain	protein-coding
Merged-chr7-80658723-2	chr7	80572326	80736959	+	1213.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_173863, intron 2 of 14)	RSINE1|SINE|B4	18625	NR_040343	100504375	Mm.322881	NR_040343	ENSMUSG00000084821	Gm15880	OTTMUSG00000027171	predicted gene 15880	ncRNA
Merged-chr19-8960435-2	chr19	8918292	9003307	+	1211.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_197993, intron 4 of 8)	RLTR31B2|LTR|ERVK	-6242	NM_026007	67160	Mm.247762	NM_026007	ENSMUSG00000071644	Eef1g	2610301D06Rik|AA407312|EF1G	eukaryotic translation elongation factor 1 gamma	protein-coding
Merged-chr4-11119688-2	chr4	11073721	11165332	+	1210.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	MTC|LTR|ERVL-MaLR	-14571	NR_030455	735261		NR_030455		Mir684-2	Mirn684-2	microRNA 684-2	ncRNA
Merged-chr4-156012699-1	chr4	155990236	156035162	+	1210.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	promoter-TSS (NM_011659)	promoter-TSS (NM_011659)	-996	NM_011659	22163	Mm.13885	NM_011659	ENSMUSG00000029075	Tnfrsf4	ACT35|CD134|Ly-70|Ox40|TXGP1L|Txgp1	tumor necrosis factor receptor superfamily, member 4	protein-coding
Merged-chr11-30160230-2	chr11	30101300	30217693	+	1209.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_175836, intron 1 of 34)	intron (NM_175836, intron 1 of 34)	38761	NM_009260	20742	Mm.123110	NM_009260	ENSMUSG00000020315	Sptbn1	9930031C03Rik|AL033301|SPTB2|Spnb-2|Spnb2|elf1|elf3|mKIAA4049	spectrin beta, non-erythrocytic 1	protein-coding
Merged-chr12-55460547-2	chr12	55414798	55506375	+	1209.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NR_035430, intron 1 of 3)	intron (NR_035430, intron 1 of 3)	32061	NM_010907	18035	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding
Merged-chr15-100096355-1	chr15	100039089	100153621	+	1208.300049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NR_037311, intron 2 of 3)	B1_Mus1|SINE|Alu	57691	NM_001159361	239667	Mm.243658	NM_172819	ENSMUSG00000023026	Dip2b	4932422C22|AI317237|AI854602|mKIAA1463	DIP2 disco-interacting protein 2 homolog B (Drosophila)	protein-coding
Merged-chr6-125244887-2	chr6	125211226	125276723	+	1207.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-6947	NM_001042564	21940	Mm.367714	NM_001033126	ENSMUSG00000030336	Cd27	S152|Tnfrsf7|Tp55	CD27 antigen	protein-coding
Merged-chr8-72169998-2	chr8	72106074	72222108	+	1205.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_023126, intron 1 of 7)	B2_Mm2|SINE|B2	2891	NM_023126	17274	Mm.162811	NM_023126		Rab8a	AA409338|Mel	RAB8A, member RAS oncogene family	protein-coding
Merged-chr14-121349390-2	chr14	121306735	121392596	+	1205.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_145465, intron 1 of 10)	intron (NM_145465, intron 1 of 10)	29565	NM_145465	223255	Mm.390756	NM_145465	ENSMUSG00000063410	Stk24	1810013H02Rik|C76483|MST-3|Mst3|STE20	serine/threonine kinase 24	protein-coding
Merged-chr8-83757259-2	chr8	83714791	83799933	+	1202.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-16051	NM_011925	26364	Mm.334648	NM_011925	ENSMUSG00000002885	Cd97	AA409984|TM7LN1	CD97 antigen	protein-coding
Merged-chr6-94663975-1	chr6	94621999	94705951	+	1200.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	exon (NM_008377, exon 2 of 19)	exon (NM_008377, exon 2 of 19)	36170	NM_008377	16206	Mm.245210	NM_008377	ENSMUSG00000030029	Lrig1	D6Bwg0781e|Img|LIG-1	leucine-rich repeats and immunoglobulin-like domains 1	protein-coding
Merged-chr2-127320713-1	chr2	127300684	127340742	+	1198.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-15446	NM_010090	13537	Mm.4729	NM_010090	ENSMUSG00000027368	Dusp2	PAC1	dual specificity phosphatase 2	protein-coding
Merged-chr11-54761676-2	chr11	54683434	54834044	+	1198.149902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_178626, intron 1 of 5)	B4A|SINE|B4	28964	NM_178626	72729	Mm.29476	NM_178626	ENSMUSG00000052298	Cdc42se2	2810404F18Rik|AA408783|AA536669|SPEC2	CDC42 small effector 2	protein-coding
Merged-chr3-106492688-2	chr3	106447253	106573756	+	1196.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001293694, intron 5 of 8)	intron (NM_001293694, intron 5 of 8)	24464	NM_028110	72121	Mm.14816	NM_028110	ENSMUSG00000027901	Dennd2d	2010308M01Rik|AI451421	DENN/MADD domain containing 2D	protein-coding
Merged-chr2-73463777-2	chr2	73424755	73497725	+	1195.849976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_153138, intron 1 of 7)	B2_Mm2|SINE|B2	-7351	NM_001289722	215280	Mm.223504	NM_153138	ENSMUSG00000075284	Wipf1	AI115543|D2Ertd120e|WIP|Waspip	WAS/WASL interacting protein family, member 1	protein-coding
Merged-chr11-116397008-2	chr11	116336975	116446073	+	1194.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_027258, intron 2 of 18)	IAPEz-int|LTR|ERVK	21508	NM_027258	217340	Mm.426344	NM_027258	ENSMUSG00000052949	Rnf157	2610036E23Rik|A130073L17Rik|mKIAA1917	ring finger protein 157	protein-coding
Merged-chr1-144295671-1	chr1	144237061	144354282	+	1193.800049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	RSINE1|SINE|B4	-46567	NM_015811	50778	Mm.103701	NM_015811	ENSMUSG00000026358	Rgs1	BL34	regulator of G-protein signaling 1	protein-coding
Merged-chr18-62128923-1	chr18	62064412	62193435	+	1191.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	51058	NM_007420	11555	Mm.5598	NM_007420	ENSMUSG00000045730	Adrb2	Adrb-2|Badm|Gpcr7	adrenergic receptor, beta 2	protein-coding
Merged-chr3-142580324-1	chr3	142520210	142640438	+	1190.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	L1Md_F2|LINE|L1	-14523	NM_010259	14468	Mm.457978	NM_010259	ENSMUSG00000028269	Gbp2b	Gbp-1|Gbp1|Mag-1|Mpa-1|Mpa1	guanylate binding protein 2b	protein-coding
Merged-chr11-51897559-1	chr11	51820740	51974378	+	1190.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-40078	NM_199299	76901	Mm.259996	NM_199299	ENSMUSG00000020387	Jade2	1200017K05Rik|AI480685|Phf15|mKIAA0239	jade family PHD finger 2	protein-coding
Merged-chr2-132032399-2	chr2	131985389	132080415	+	1187.850098	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Charlie5|DNA|hAT-Charlie	-2914	NM_175445	215653	Mm.204737	NM_175445	ENSMUSG00000027339	Rassf2	3830431H01Rik|9030412M04Rik|AI852669|AW495050	Ras association (RalGDS/AF-6) domain family member 2	protein-coding
Merged-chr4-129017130-1	chr4	128962607	129071654	+	1184.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	ID_B1|SINE|B4	23906	NM_016895	11637	Mm.29460	NM_016895	ENSMUSG00000028792	Ak2	Ak-2|D4Ertd220e	adenylate kinase 2	protein-coding
Merged-chr12-113006482-1	chr12	112937321	113075644	+	1182.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	MT2A|LTR|ERVL	-5861	NM_028193	72308	Mm.196721	NM_028193	ENSMUSG00000011158	Brf1	2510002F24Rik|GTF3B|TAF3C|TAFIII90|TFIIIB90|mTFIIIB90	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	protein-coding
Merged-chr5-140602614-2	chr5	140556928	140663938	+	1182.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_008494, intron 1 of 7)	intron (NM_008494, intron 1 of 7)	3092	NM_008494	16848	Mm.12834	NM_008494	ENSMUSG00000029570	Lfng	AW061165	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein-coding
Merged-chr7-80393509-2	chr7	80287542	80458987	+	1181.050049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-1889	NM_172903	140481	Mm.269245	NM_172903	ENSMUSG00000038886	Man2a2	1700052O22Rik|4931438M07Rik|AI480988|MX|Man IIx	mannosidase 2, alpha 2	protein-coding
Merged-chr5-112278479-2	chr5	112219944	112348881	+	1178.899902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_009419, intron 1 of 6)	intron (NM_009419, intron 1 of 6)	7705	NM_009419	22022	Mm.250631	NM_009419	ENSMUSG00000029344	Tpst2	AI448750|D5Ucla3|Tango13b|grm|grt	protein-tyrosine sulfotransferase 2	protein-coding
Merged-chr16-4707329-1	chr16	4623632	4791026	+	1178.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	3' UTR (NM_023646, exon 12 of 12)	3' UTR (NM_023646, exon 12 of 12)	12027	NM_001290762	67824	Mm.28451	NM_026393	ENSMUSG00000063445	Nmral1	1110025F24Rik|AI256624	NmrA-like family domain containing 1	protein-coding
Merged-chr4-133143713-2	chr4	133046141	133213149	+	1176.750000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	promoter-TSS (NM_153423)	promoter-TSS (NM_153423)	-988	NM_153423	242687	Mm.23566	NM_153423	ENSMUSG00000028868	Wasf2	AW742646|D4Ertd13e|WAVE2	WAS protein family, member 2	protein-coding
Merged-chr7-90047269-2	chr7	89996985	90100143	+	1176.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NR_110364, intron 5 of 5)	intron (NR_110364, intron 5 of 5)	19405	NR_110364	319711	Mm.31753	NR_015614		E230029C05Rik	AI452102|B230337J15	RIKEN cDNA E230029C05 gene	ncRNA
Merged-chr9-40393672-1	chr9	40317616	40469728	+	1175.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_172768, intron 2 of 19)	intron (NM_172768, intron 2 of 19)	60200	NR_040728	73558	Mm.398307	NR_040728		1700110K17Rik	-	RIKEN cDNA 1700110K17 gene	ncRNA
Merged-chr6-72971986-2	chr6	72918860	73018976	+	1175.399902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	B2_Mm2|SINE|B2	-10170	NM_001190327	19240	Mm.3532	NM_025284	ENSMUSG00000079523	Tmsb10	Ptmb10|Tb10	thymosin, beta 10	protein-coding
Merged-chr4-150559768-2	chr4	150486274	150626273	+	1175.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001085492, intron 11 of 22)	intron (NM_001085492, intron 11 of 22)	95901	NM_173774	242773	Mm.29280	NM_173774		Slc45a1	C230078B22|Dnb5	solute carrier family 45, member 1	protein-coding
Merged-chr8-119814299-2	chr8	119770114	119867745	+	1174.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_028071, intron 3 of 3)	intron (NM_028071, intron 3 of 3)	21650	NM_028071	72042	Mm.393405	NM_028071	ENSMUSG00000031827	Cotl1	1810074P22Rik|2010004C08Rik|Clp	coactosin-like 1 (Dictyostelium)	protein-coding
Merged-chr13-91449920-1	chr13	91356986	91542854	+	1173.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-11177	NM_024186	66970	Mm.343095	NM_024186	ENSMUSG00000003992	Ssbp2	1500004K09Rik|2310079I02Rik|9330163K02Rik|A830008M03Rik|AU067692|AW558684|Hspc116|SSDP2	single-stranded DNA binding protein 2	protein-coding
Merged-chr16-11463486-1	chr16	11397352	11529620	+	1173.199951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_001290148, intron 6 of 13)	B3|SINE|B2	57838	NM_001290148	74478	Mm.325831	NM_028964	ENSMUSG00000071669	Snx29	4933437K13Rik|ENSMUSG00000079738|Gm11170|Gm1737|Gm930|Rundc2a	sorting nexin 29	protein-coding
Merged-chr17-7903005-2	chr17	7852035	7946150	+	1171.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-26908	NM_145968	72536	Mm.119680	NM_145968	ENSMUSG00000033450	Tagap	2610315E15Rik	T cell activation Rho GTPase activating protein	protein-coding
Merged-chr14-40942912-2	chr14	40902738	40976129	+	1171.150024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_145928, intron 1 of 8)	Lx|LINE|L1	27374	NM_145928	52588	Mm.28876	NM_145928	ENSMUSG00000037824	Tspan14	AA958793|D14Ertd226e|Tm4sf14	tetraspanin 14	protein-coding
Merged-chr6-70808876-2	chr6	70709514	70884599	+	1169.849976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	MTE-int|LTR|ERVL-MaLR	-4881	NM_009075	19895	Mm.17905	NM_009075	ENSMUSG00000053604	Rpia	RPI	ribose 5-phosphate isomerase A	protein-coding
Merged-chr1-80732958-1	chr1	80699192	80766724	+	1169.800049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_175291, intron 1 of 55)	intron (NM_175291, intron 1 of 55)	25595	NM_175291	210293	Mm.133473	NM_175291	ENSMUSG00000038608	Dock10	9330153B10Rik|A630054M16Rik|Jr4|Jr5|R75174|ZIZ3|Zizimin3|mKIAA0694	dedicator of cytokinesis 10	protein-coding
Merged-chr11-57670874-1	chr11	57607472	57734277	+	1169.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_134189, intron 1 of 11)	intron (NM_134189, intron 1 of 11)	25432	NM_134189	171212	Mm.271670	NM_134189	ENSMUSG00000020520	Galnt10	AU018154|C330012K04Rik|GalNAc-T10|GalNAc-T9|Galnt9|ppGaNTase	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10	protein-coding
Merged-chr3-69169707-2	chr3	69107204	69235498	+	1169.150024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	40118	NM_001243000	381452	Mm.331067	NM_001243000	ENSMUSG00000094763	Gm1647	-	predicted gene 1647	protein-coding
Merged-chr2-102977530-1	chr2	102936010	103019050	+	1167.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	MIRc|SINE|MIR	-75865	NM_009851	12505	Mm.423621	NM_009851	ENSMUSG00000005087	Cd44	AU023126|AW121933|AW146109|HERMES|Ly-24|Pgp-1	CD44 antigen	protein-coding
