Gene symbol	No-Peptide-24h	No-Peptide-24h-MEKi	10uM-K99A-24h	10uM-K99A-24h-MEKi	100uM-K99A-24h	100uM-K99A-24h-MEKi	0-1uM-PCC-24h	0-1uM-PCC-24h-MEKi	10uM-PCC-24h	10uM-PCC-24h-MEKi
Tepp	0.0295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Daglb	6.6705000000000005	9.487	4.856	7.33	3.66	4.517	3.5035	3.4530000000000003	3.2255	3.402
Tubgcp4	13.0325	12.712	15.334000000000001	16.209	15.699000000000002	17.707	16.597	17.85	14.8285	17.225
Serpine3	0.16	0.0	0.449	0.468	0.4225	0.152	0.611	0.209	0.2375	0.147
Parp1	21.5835	16.061	27.6645	19.013	35.637	27.172	37.0015	32.04	40.2355	33.512
Mir6769b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Map2k4	24.311999999999998	24.19	24.4975	25.671	23.173	23.152	21.075000000000006	22.109	21.985	22.635
Zscan10	12.3915	5.4220000000000015	2.8405	4.288	0.35500000000000004	0.596	0.442	0.191	0.185	0.145
St6galnac2	0.0	0.092	0.264	0.0	0.023	0.0	0.3185	0.14300000000000002	0.185	0.456
Gm6763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr164	0.3655	0.0	0.0785	0.0	0.0	0.0	0.0665	0.307	0.0	0.163
Rprd1a	3.0125	2.616	2.5795000000000003	3.174	2.8975	2.298	2.8045	2.719	2.489	2.272
Tmem68	7.8695	5.523	12.4225	6.926	18.813	13.749	19.413	19.85	18.384	19.225
Usp21	18.7965	17.031	19.297	13.229	19.8665	18.195	19.8625	17.247	19.5695	16.996
Rgl3	0.06849999999999999	0.14800000000000002	0.0	0.026	0.041	0.0	0.046500000000000014	0.069	0.0145	0.0
Sema4g	0.1845	0.044	0.2155	0.076	0.29600000000000004	0.08199999999999999	0.2335	0.17600000000000002	0.20800000000000002	0.311
R3hdm1	13.11	13.392	16.6375	15.712	19.3655	18.509	20.441	23.055	19.355	20.411
Zfp572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scn4a	1.405	1.4509999999999998	0.7105	1.318	0.33299999999999996	0.7070000000000001	0.3915	0.424	0.2015	0.5539999999999999
Trmt10c	13.720999999999998	7.78	18.491	9.864	28.096999999999998	17.498	28.3785	18.99	26.636999999999997	23.243
Mir324	0.0	0.0	0.0	0.0	0.0	0.0	1.1905	2.637	1.7744999999999995	0.0
Lce1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nipbl	31.611	31.551	37.5775	36.31800000000001	32.7325	37.087	32.7075	37.308	30.895	34.575
Olfr1225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gcm2	0.0345	0.239	0.117	0.0	0.018000000000000002	0.0	0.0	0.0	0.0095	0.0
Rmdn1	3.8065	3.846	4.0895	2.971	2.9610000000000003	3.626	2.9360000000000004	3.176	3.0439999999999996	2.917
Umodl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rtca	9.5125	6.364	13.5895	8.167	18.8895	11.555	18.755	17.624000000000006	20.537	15.611
Tmc3	0.963	1.075	0.4625	0.47	0.226	0.295	0.127	0.149	0.07900000000000001	0.084
Rxfp1	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.025	0.0
Fkbp15	19.727	22.081	16.48	21.854	15.054000000000002	18.573	14.0005	15.955	13.5655	14.102
Metap1	14.087	9.607	22.388	11.504	32.9715	20.147	38.191	34.219	47.4075	37.767
Cntn6	0.0	0.0	0.006	0.0	0.011	0.0	0.0	0.0	0.0	0.0
Ubqln2	16.386000000000006	14.341	15.963	10.109	13.949000000000002	16.217	14.9715	14.554	14.99	14.823
Sptssa	32.052	22.788	31.8175	26.452	28.313500000000005	29.361	27.0385	21.385	22.534000000000002	18.789
Ampd2	12.0275	11.446	11.5395	9.436	13.31	10.295	18.2275	17.117	20.423	18.537
Tatdn3	2.9019999999999997	0.8029999999999999	1.894	2.884	2.2230000000000003	1.473	1.874	2.102	1.8940000000000001	1.94
Prph	0.0	0.177	0.035	0.0	0.011	0.08	0.04	0.033	0.016	0.058
Hist1h4b	0.0	0.976	0.0	0.0	0.1325	0.0	0.1465	0.0	0.0	0.229
Epb4.1l2	20.0155	17.385	29.9105	27.01	28.401000000000003	30.543000000000006	22.644	20.19	20.105	21.482
Wnt8b	0.0075	0.0	0.022	0.0	0.023	0.0	0.028	0.0	0.0	0.0
Sp1	30.484	33.094	33.5915	34.121	37.1265	38.368	39.441	44.052	37.176	42.857
Hs3st3a1	0.0775	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0045000000000000005	0.0
Krtap19-9b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir344d-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eif5a2	1.8795	1.912	2.0115000000000003	2.678	2.4615	2.583	2.539	3.13	2.6415	2.283
Olfr279	0.0	0.0	0.0	0.0	0.0555	0.0	0.0	0.0	0.0	0.0
D730001G18Rik	0.0165	0.0	0.055	0.0	0.0	0.0	0.042	0.078	0.091	0.0
Pbx1	8.1755	12.427	6.0375000000000005	11.619000000000002	2.2095	4.618	2.0255	1.664	1.1755	1.311
Usp9x	13.522	12.278	15.562000000000001	16.639	15.616499999999998	15.292	16.014499999999998	17.669	15.741	17.698
B3gnt3	2.4115	1.01	2.335	1.118	1.2670000000000001	1.477	1.5095	1.245	1.1284999999999998	1.002
Olfr1213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930438E09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3259	0.0	0.0	0.0	0.0	0.0085	0.0	0.0	0.0	0.0	0.0
Xkr5	0.4525	0.903	0.39	0.115	0.13849999999999998	0.174	0.345	0.431	0.182	0.254
Pnisr	32.330999999999996	35.481	37.45	40.115	33.527	33.051	36.571	35.949	34.732	33.812
Amotl1	0.0	0.035	0.0	0.0	0.0435	0.126	0.018500000000000003	0.032	0.0225	0.046
Ddx58	18.019000000000002	17.72	11.5215	14.975	7.398	10.492	6.809	7.494	3.93	6.624
Rps10	23.533500000000004	6.165	20.912000000000006	7.019	22.854000000000006	17.407	26.0155	15.681	30.3795	17.393
Aldh9a1	22.3045	13.765999999999998	20.4665	15.08	21.177	18.592	20.3455	18.986	22.1745	17.564
Rab24	17.176000000000002	18.845	14.379	11.55	14.8245	16.427	12.37	14.166	15.3525	12.050999999999998
Ddx3x	76.08	72.578	99.0615	84.838	127.919	91.322	135.01049999999998	120.463	139.46300000000002	122.212
Spag1	1.0385	1.091	1.1725	1.405	1.2045	1.144	1.3165	1.4509999999999998	1.2805	0.7859999999999999
Dusp8	0.2985	0.0	1.0235	0.23	0.8640000000000001	0.468	0.4720000000000001	0.386	0.5215	0.5539999999999999
Lta	6.83	2.9410000000000003	17.781	4.115	59.0575	22.231	81.46100000000001	64.874	114.77349999999998	72.497
Spink14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pcdha10	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
Rad51ap1	1.7494999999999998	1.025	1.5065	1.143	2.76	1.736	1.899	3.053	3.0955	3.12
Tm9sf1	17.2605	14.062	17.956500000000005	13.814	20.4775	15.77	20.693	22.158	22.873	20.587
Fam98c	18.2185	19.104	13.177	17.949	8.0495	10.9	7.388999999999999	6.681	6.7935	7.6560000000000015
Mir7016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8170000000000001	0.903	1.444
Mir6966	0.0	0.0	2.095	3.669	0.0	0.991	1.584	0.8170000000000001	1.4365	0.722
Olfr1090	0.0275	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0
Lamp1	202.9875	177.465	135.083	157.701	134.1365	160.78799999999995	128.339	133.749	123.96349999999998	129.576
Aoah	4.402	5.006	3.1405	4.267	1.5155	4.222	1.345	2.7	0.976	1.803
Mrpl4	13.395499999999998	10.108	12.7885	9.646	14.7765	10.975	14.171	15.229	17.6385	12.457
Simc1	3.2175	3.141	6.251	3.01	9.1105	6.683	9.324	8.02	8.3085	9.201
Ccbl2	0.4005	0.469	0.6895	0.49	1.7719999999999998	0.81	2.021	1.9	2.4195	1.4069999999999998
Olfr92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm128	0.7595	1.233	0.3465	0.17800000000000002	0.16799999999999998	0.28800000000000003	0.25	0.119	0.2265	0.315
Tnfsf12	7.044	6.952000000000001	2.1075	4.058	1.4460000000000002	3.675	1.423	0.964	0.7290000000000001	0.669
Olfr295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6430710C18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trappc2	0.667	2.466	2.5015	0.515	2.205	1.207	1.8435	1.454	2.602	1.42
Spr	19.1125	6.94	21.0725	8.64	25.261	16.253	25.1165	15.488	32.376999999999995	16.797
Lrfn4	0.456	0.171	0.53	0.693	0.6805	0.507	0.7470000000000001	0.557	1.106	0.475
Eml6	0.6975	0.574	0.2155	0.6729999999999999	0.11199999999999999	0.21	0.1515	0.202	0.121	0.134
Rbm22	32.914500000000004	21.715	33.5465	24.366	42.3445	34.37	41.938	43.66	42.3015	40.254
Gm19583	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0
Cul5	6.5760000000000005	5.097	9.174	8.452	12.8395	11.233	12.312999999999999	12.825	13.7635	14.958
Pcdhgb8	2.8095	2.595	4.994	3.15	5.0495	4.396	4.692	4.667	5.055	5.3370000000000015
Olfr127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhcg	0.0355	0.03	0.16	0.0	0.038	0.102	0.0315	0.0	0.035500000000000004	0.07400000000000001
Mdp1	15.905	9.103	19.9825	10.722	19.7825	17.012	19.861	17.352	21.2125	15.991
Slc6a18	0.047	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0045000000000000005	0.0
Zranb2	22.476999999999997	19.981	42.1455	30.361	64.24950000000001	40.457	71.5365	65.248	66.6805	57.928
Olfr894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snapc5	27.0205	18.71	19.2225	18.004	18.6305	17.407	17.82	12.584	18.9575	15.87
Dhrs3	10.1535	12.06	6.127000000000001	5.997000000000001	2.948	5.159	3.1860000000000004	2.211	2.0010000000000003	2.616
Mfsd6	27.0515	32.556	17.766	26.638	9.3155	14.06	8.497	9.445	7.596500000000002	9.705
Gm10125	0.0495	0.0	0.1885	0.304	0.1255	0.375	0.136	0.154	0.054500000000000014	0.102
Tex22	0.0	0.0	0.0	0.0	0.0	0.0	0.19699999999999998	0.0	0.0	0.163
Gm382	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
Ubald1	29.4085	20.44	24.19	15.986	24.5605	19.721	26.8635	24.699	24.935	21.237
1700045H11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0355	0.0	0.0	0.0
Ilkap	28.093000000000004	22.412	33.6255	22.558000000000003	35.7645	30.353	33.964	32.046	37.789	30.029
Mir7083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cntnap3	0.0155	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
Skint1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cmas	31.7845	19.121	27.375499999999995	17.192999999999998	27.1295	21.595	24.7975	22.474	30.783	24.23
Rb1	20.47	22.763	15.101	20.631	13.8535	16.43	11.915499999999998	13.404000000000002	10.284	12.606
Ncapg	1.9025	1.797	1.919	2.251	2.3325	2.336	2.5125	2.9360000000000004	2.772	2.623
Lgals1	70.99	36.492	53.0915	28.543000000000006	60.8175	61.688	59.4135	52.455	72.35900000000002	59.216
Acadl	29.15	20.706	21.565	22.347	22.3375	24.658	21.8785	24.073	23.4805	22.311
Hk1os	1.0025	1.46	0.5185	0.821	0.584	0.507	0.7015	0.732	0.5954999999999999	0.647
Fxyd7	1.127	2.511	1.034	0.0	0.2245	0.42	0.35100000000000003	0.519	0.23600000000000002	0.077
AW112010	61.8585	29.945	49.08	50.192	100.528	65.725	121.448	149.303	146.695	151.22799999999995
Taf4a	17.046	17.409000000000002	18.8625	17.692	19.575000000000006	18.000999999999994	20.558000000000003	19.551	19.3695	19.574
Stard3	18.9965	19.272	17.988	17.148	17.109	15.465	17.023	17.070999999999998	19.229	16.602999999999998
4930455C13Rik	6.311	5.1110000000000015	7.29	5.084	10.331	7.7879999999999985	11.1995	7.508999999999999	11.443	8.765
Loxl1	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clrn3	0.0	0.0	0.0	0.157	0.0	0.0	0.0	0.0	0.0	0.0
Actrt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Uqcrc2	47.79600000000001	28.584	95.5735	39.681	126.4845	85.573	123.18	105.975	127.7445	105.513
Fgf17	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0215	0.0
E030044B06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ss18l1	2.7975000000000003	2.546	3.1465	2.6010000000000004	2.3915	2.795	2.5875000000000004	3.289	2.7245	2.943
Flywch1	6.9155	5.309	8.369	5.653	9.8115	6.559	7.9805	8.168	8.9805	7.26
Sspo	0.0255	0.008	0.049	0.105	0.026500000000000003	0.041	0.015	0.022	0.008	0.013
Gm7609	0.06150000000000001	0.0	0.0	0.0	0.0	0.0	0.0295	0.108	0.0	0.0
Mir7655	0.0	0.0	0.0	0.0	0.34600000000000003	0.0	0.0	0.0	0.0	1.7990000000000002
Kcnv1	0.0	0.0	0.009000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prl5a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atp6v0b	86.66850000000002	72.043	67.378	72.124	61.214	62.737	61.685	53.36	65.017	52.469
Mab21l2	0.0	0.0	0.0225	0.0	0.024	0.0	0.008	0.0	0.006500000000000001	0.0
Psmc2	39.31950000000001	19.959	71.9305	39.951	105.9715	65.117	105.0975	85.223	119.2015	87.979
Fam115c	0.0235	0.0	0.031	0.061	0.053500000000000006	0.0	0.015	0.041	0.02	0.06
Dnm1	0.155	0.066	0.2225	0.173	0.259	0.206	0.25849999999999995	0.154	0.193	0.027000000000000003
Mir1958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Usp36	10.4785	6.102	15.128	8.86	24.729	13.959	28.879	26.294	29.7205	25.168000000000006
A630023P12Rik	12.4285	12.423	7.782	10.955	2.845	3.179	1.1235000000000002	1.536	1.5525	1.997
Rgr	0.0	0.0	0.0125	0.0	0.0155	0.171	0.0	0.0	0.0	0.0
Arl14ep	11.831	8.113999999999999	23.115	14.521	31.5535	23.451	30.389000000000006	26.545	28.789	29.195
Fbxl21	0.053	0.446	0.0635	0.0	0.0305	0.0	0.043	0.059	0.009000000000000001	0.0
Tas2r108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zscan2	7.1495	4.617	4.6445	3.198	2.9110000000000005	2.345	2.489	2.06	1.6745	2.09
Fank1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009000000000000001	0.0
Olfr1354	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0
Olfr1264	0.0	0.0	0.0	0.0	0.0215	0.0	0.0	0.0	0.0195	0.0
Prkcb	27.35	36.863	18.2805	29.923	10.2215	16.815	9.506	10.351	6.6505	9.999
Hn1l	7.371499999999998	6.066	10.3505	8.494	13.842	10.966	13.980999999999998	14.24	13.722	13.356
Mettl18	4.4715	4.414	6.189	1.881	7.088000000000001	3.92	6.752000000000002	6.942	6.865499999999999	4.902
Pxylp1	9.548	8.249	5.2835	6.256	2.6935	2.652	2.023	2.067	2.176	1.758
6720489N17Rik	0.349	0.047	0.2895	0.7170000000000001	0.4015	1.123	0.29400000000000004	0.397	0.4185	0.565
Vmn2r98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eme1	2.423	1.462	2.9685	1.704	4.3015	2.6660000000000004	5.2185	4.029	4.5865	4.001
Gm14482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pemt	1.011	1.043	1.4065	1.09	2.7575	1.104	3.923	2.245	3.5095	2.145
Fam3b	0.0	0.0	0.0	0.0	0.0	0.0	0.1245	0.138	0.184	0.061
Mir5126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr441	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ppp1r12b	2.6185	2.924	1.9515	2.177	1.9505	1.38	2.065	2.331	1.838	1.829
Prc1	4.5470000000000015	2.721	3.3705000000000003	3.1910000000000003	2.8675	2.604	2.6180000000000003	2.398	2.3930000000000002	2.171
Ing4	33.991	32.959	29.7075	36.31	23.267	27.239	23.781	22.705	23.2705	21.76
Celf2	36.6545	49.341	27.9495	43.137	16.5655	24.692	15.7795	20.475	14.479000000000001	18.656
Xaf1	3.937	2.189	2.605	3.017	3.4085	2.717	3.593	2.9560000000000004	2.4645	2.435
Mlh3	2.7960000000000003	2.544	3.8175	2.983	3.6425	3.198	3.2245	3.804	3.3305	3.068
Cdip1	17.009	15.666	23.2375	19.152	24.5445	21.691	23.1485	20.444000000000006	21.8965	22.025
Vmn1r180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aar2	6.949999999999998	4.237	8.874	6.056	11.949000000000002	9.694	11.8755	9.137	12.659	10.505
Lmbrd2	3.392	3.707	5.2205	4.67	6.0139999999999985	5.698	5.7705	6.978	6.875	8.099
Appbp2	17.3595	19.449	23.973000000000003	20.518	25.807	22.231	26.8855	28.252	26.869	29.884
Crygn	0.0	0.0	0.5625	0.0	0.2305	0.235	0.5245000000000001	0.581	0.2575	0.0
Spag11b	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dpysl3	0.0475	0.0	0.0145	0.0	0.0225	0.013	0.009000000000000001	0.022	0.0105	0.02
Msh6	15.482999999999999	10.818	14.8915	11.382	15.948	12.697	16.413	16.075	17.041	17.26
Atp2b4	4.0105	4.273	5.0405	4.869	8.9405	7.535	9.8275	13.132	10.842	13.264
Zfp865	18.8125	13.904000000000002	18.602999999999998	14.08	18.615	16.843	18.345	16.952	17.3745	16.492
Erich5	0.0	0.079	0.0	0.027000000000000003	0.0	0.0	0.0	0.0	0.012	0.0
Bhlha9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm19522	0.0785	0.0	0.0885	0.0	0.0695	0.0	0.0	0.023	0.011	0.0
BC061237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir15b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sulf2	3.113	1.853	0.978	1.867	1.7905	2.055	1.928	2.094	2.0715000000000003	1.388
Barx1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp93	0.504	0.053	0.51	0.26	0.5125	0.181	0.3975	0.7120000000000001	0.461	0.483
Pomp	65.67349999999999	38.88	74.6985	40.186	121.1165	82.39399999999998	136.0215	112.34	154.79850000000005	133.691
Samd8	8.611	12.277	7.9345	12.663	6.025	9.304	5.317	5.5779999999999985	4.6295	6.016
Gm4541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cd3d	87.2625	45.544	74.0395	41.988	56.2615	47.288	53.883	46.52	53.463	44.452
Lgi4	0.052000000000000005	0.018000000000000002	0.08249999999999999	0.114	0.045	0.061	0.006	0.017	0.0	0.045
Nhp2l1	1.82	0.7959999999999999	3.9525	2.289	8.465499999999999	5.003	10.450500000000002	9.174	12.61	9.665
Vmn2r84	0.302	0.711	0.016	0.0	0.0255	0.0	0.114	0.251	0.0505	0.101
Calm1	179.1515	136.997	148.17950000000005	152.33	170.94099999999997	187.276	153.14100000000005	144.475	142.553	147.218
Tmbim6	187.035	163.059	180.1545	149.66	186.88099999999997	178.824	177.80649999999997	180.227	204.709	199.651
Fads3	0.156	0.077	0.2945	0.06	0.142	0.0	0.1765	0.125	0.16899999999999998	0.032
Nap1l2	0.119	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cdh8	0.0815	0.0	0.0	0.0	0.0	0.0	0.0045000000000000005	0.0	0.0	0.0
Anxa3	61.20650000000001	56.364	33.481	45.858	26.213	36.077	17.637999999999995	18.114	12.23	16.367
Klc1	26.466500000000003	19.727	21.2745	14.449000000000002	25.0315	21.396	27.2425	24.436	31.554	28.36
Naprt	0.9109999999999999	0.266	0.691	1.355	1.4015	0.601	0.7395	0.7120000000000001	0.929	0.711
Gm14305	0.2645	0.0	0.2135	0.282	0.2875	0.044	0.413	0.431	0.28300000000000003	0.317
Atad2	9.8745	9.667	10.485500000000002	10.437	10.8025	11.192	11.106	12.16	10.797999999999998	12.816
Ankrd44	39.93299999999999	45.974	34.7715	46.386	25.073	32.93	20.662	25.833	20.738000000000003	26.358
Tsfm	6.8505	6.061	11.195	5.89	20.7935	9.788	22.563	17.076	29.553	16.887
2900097C17Rik	5.3740000000000006	4.348	6.4115	4.65	6.7065	5.268	8.1935	6.572	9.035	7.9060000000000015
Lipm	0.2075	0.463	0.201	0.581	0.0585	0.105	0.0585	0.129	0.027000000000000003	0.057
Supt16	22.6935	20.063	33.7285	26.105	43.4575	34.659	47.87049999999999	47.48	51.659000000000006	49.216
2200002J24Rik	0.0	0.516	0.0	0.0	0.098	0.0	0.0	0.0	0.0	0.0
Mef2a	22.489	22.983	22.02	24.281	19.718	24.345	18.067	21.406	16.752499999999998	20.375
Csn1s2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sostdc1	0.531	0.0	0.085	0.0	0.1765	0.0	0.054000000000000006	0.332	0.41	0.7040000000000001
Olfr920	0.0255	0.414	0.2145	0.266	0.1525	0.07200000000000001	0.012	0.14800000000000002	0.103	0.157
Mtm1	4.173	3.335	2.6435	3.943	3.0825	2.819	2.2575000000000003	2.696	2.2925	2.822
Pmm1	6.3295	6.774	6.141	4.564	6.7075	4.805	5.897	7.14	8.4795	7.047999999999999
1700084C01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir338	0.255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alpi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snord96a	11.28	4.099	15.8435	35.132	27.2965	12.964	26.0585	15.265	26.7775	32.383
Aqp4	0.0	0.0	0.016	0.0	0.005	0.0	0.0165	0.0	0.014	0.0
Mir6540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ryr3	0.4685	0.314	0.16699999999999998	0.132	0.046000000000000006	0.032	0.0505	0.027000000000000003	0.0265	0.03
Olfr1183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Erich4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm10409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm10640	2.3535000000000004	3.97	1.1424999999999998	1.959	0.3685	0.561	0.3545	0.103	0.057	0.0
Gbx1	0.034	0.0	0.15299999999999994	0.0	0.0	0.0	0.0435	0.0	0.0	0.0
Olfr1507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0165	0.0
0610010B08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr1145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir1843a	1.1585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.129	0.8009999999999999
4930549C01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ppp1r13l	0.5775	0.66	0.499	0.774	0.5465	0.271	0.6960000000000001	0.652	0.6839999999999999	0.741
Gimap8	44.4475	40.577	39.9885	40.852	28.574	34.771	27.882	36.516	26.5155	35.67
Cnnm3	8.3825	6.877000000000002	9.5935	6.47	9.361	8.855	9.65	10.46	9.8295	9.85
Dsn1	5.631	5.297999999999999	5.2515	4.963	4.791	5.921	5.1675	4.523	5.5115	6.0760000000000005
Palm3	2.793	1.788	3.1555	4.35	2.837	3.778	3.0210000000000004	4.612	2.398	2.8160000000000003
Mir7059	0.0	1.074	1.987	0.0	0.0	2.427	0.4055	0.0	0.0	3.536
Zswim1	2.5065	2.68	4.4085	2.801	5.744	5.558	6.4775	4.646	6.4655000000000005	5.551
Cdca4	18.1295	12.462	22.838500000000003	12.27	27.2345	18.737	28.3605	23.972	34.9225	28.534
B3galt5	0.4195	0.21600000000000005	0.1865	0.504	0.1105	0.057	0.08249999999999999	0.047	0.0225	0.0
Lce1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Olfr1495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cacna1b	0.07250000000000001	0.006	0.057000000000000016	0.054000000000000006	0.0215	0.059	0.006500000000000001	0.042	0.031	0.021
LOC100048884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lcat	0.1825	0.506	0.231	0.337	0.5655	0.468	0.5875	0.557	1.103	0.606
Lepre1	2.992	2.5380000000000003	3.27	1.957	4.016	3.008	4.5345	3.97	5.3145	3.629
Btrc	2.5015	1.527	2.887	2.006	3.202	2.701	3.0165	2.647	3.2965	3.109
Gm11201	1.071	1.25	2.1300000000000003	1.5590000000000002	3.4675	2.17	4.0280000000000005	2.847	3.719	2.977
Ccdc85a	0.0195	0.0	0.0305	0.0	0.0125	0.0	0.0	0.0	0.0035	0.0
BC023829	5.3945	4.592	8.503499999999999	3.222	8.915	6.714	9.293	8.58	8.6635	9.136
Cabin1	15.037999999999998	14.031	13.9835	13.462	14.5475	14.519	17.017	18.924	17.083	17.798
Rspo2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc13a2	0.0345	0.343	0.0735	0.299	0.0545	0.0	0.031	0.0	0.0	0.0
Zfp750	0.1415	0.0	0.038	0.0	0.215	0.087	0.396	0.358	0.4755	0.792
Cyp26a1	0.1815	0.281	0.2265	0.0	0.044	0.0	0.012	0.0	0.0575	0.029
Anks1	10.0045	10.654000000000002	8.9755	8.764	9.563	8.693999999999999	10.290999999999999	9.118	10.899000000000001	9.563
2310035C23Rik	9.091	9.375	10.543	8.914	9.902000000000001	9.686	9.756	10.816	8.752500000000001	9.686
Tmem151b	1.443	1.98	0.8925000000000001	0.941	0.5235000000000001	1.162	0.4045	0.275	0.21600000000000005	0.317
Ddx24	30.18	21.797	33.7565	22.803	43.655	34.64	48.658	42.087	52.378	44.308
