Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d ../tag-dirs/AND-CD4TCell-RNA-0-1uM-PCC-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-100uM-K99A-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-10uM-K99A-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-10uM-PCC-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-No-Peptide-24h-KAA-15-01-22 -noadj -condenseGenes)	chr	start	end	strand	Length	Copies	Annotation/Divergence	../tag-dirs/AND-CD4TCell-RNA-0-1uM-PCC-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-100uM-K99A-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-10uM-K99A-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-10uM-PCC-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-No-Peptide-24h-KAA-15-01-22 reads
NM_028666	chr2	151969396	151973981	-	1897.0	1	Fam110a|1700008J10Rik|5430432M24Rik|AI747080|RP23-214I20.2|2 G3|2|protein-coding	279.000	505.000	561.000	314.000	424.000
NM_173449	chr17	53507460	53539451	-	2471.0	1	Pp2d1|4921523A10Rik|-|17 C|17|protein-coding	11.000	1.000	2.000	0.000	0.000
NM_029573	chr9	54586511	54604662	+	2391.0	1	Idh3a|1110003P10Rik|1500012E04Rik|AA407078|AI316514|-|9 A5.3|9|protein-coding	2266.000	2116.000	1453.000	2858.000	588.000
NM_027152	chr4	133220809	133224554	+	978.0	1	Cd164l2|2310047N01Rik|RP23-341B14.3|4|4 D3|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_177577	chr13	25056004	25210706	+	6871.0	1	Dcdc2a|AW492955|Dcdc2|RU2|RP23-211M15.1|13 A3.1|13|protein-coding	0.000	1.000	0.000	2.000	0.000
NM_001099313	chr11	99803670	99804446	-	773.5	2	Gm11554|OTTMUSG00000002180|RP23-132J20.12-001|11 D|11|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001168403	chr13	112288451	112384002	+	2873.0	1	Ankrd55|C030011J08Rik|-|13 D2.2|13|protein-coding	14.000	8.000	11.000	8.000	66.000
NM_010718	chr11	3343297	3409238	-	4519.0	1	Limk2|Limk-2|RP23-191E3.16-001|11|11 D|protein-coding	892.000	1038.000	1269.000	1074.000	1171.000
NM_145364	chr6	37530173	37568815	+	2688.0	1	Akr1d1|-|-|6 B1|6|protein-coding	1.000	0.000	0.000	1.000	0.000
NM_001284345	chr5	67618139	67847431	-	8137.0	1	Atp8a1|AI481521|AI853962|APLT|AW743152|AW822227|Atp3a2|B230107D19Rik|ClassI|-|5 C3.1|5|protein-coding	626.000	804.000	978.000	745.000	1696.000
NM_011311	chr3	90603770	90606045	+	494.0	1	S100a4|18A2|42a|Capl|FSp1|Mts1|PeL98|metastasin|pk9a|-|3 F1-F2|3 39.27 cM|protein-coding	288.000	890.000	1127.000	357.000	2164.000
NM_018814	chr12	81860030	82000924	+	12101.0	1	Pcnx|2900024E21Rik|3526401J03Rik|AF096286|AI327143|AI413187|Pcnxl1|-|12 D1|12|protein-coding	2114.000	2268.000	2456.000	2083.000	1600.000
NR_074087	chr10	81559444	81566371	+	1498.0	1	Aes|AL024115|Esp1|Grg|Grg-5|Grg5|Tle5|-|10 C1|10 39.72 cM|protein-coding	3832.000	5563.000	6801.000	4534.000	7725.000
NM_175337	chr12	85234520	85270564	-	5414.0	1	Mlh3|AV125803|BB126472|-|12 D2|12|protein-coding	409.000	496.000	561.000	532.000	361.000
NR_037908	chr4	152297214	152307126	+	5040.0	1	Icmt|1700008E11Rik|C80758|Gm13095|HSTE14|OTTMUSG00000010406|PPMT|STE14|pcCMT|RP23-421E12.4|4 E2|4|protein-coding	2773.000	2849.000	2272.000	3045.000	1293.000
NR_033617	chr4	114821720	114856166	+	2304.0	1	Gm12830|OTTMUSG00000008584|-|4 D1|4|ncRNA	0.000	0.000	0.000	1.000	0.000
NM_134054	chr12	54645374	54656572	-	1359.0	1	Sptssa|1110002B05Rik|AA407909|AA409588|AU041967|Ssspta|-|12 C1|12|protein-coding	985.000	1136.000	1175.000	972.000	1078.000
NM_013729	chr1	180693048	180697034	-	2285.0	1	Mixl1|Mm1|Mml|-|1 H4|1|protein-coding	0.000	1.000	0.000	0.000	0.000
NM_021448	chr18	24603961	24638830	+	2765.0	1	Elp2|AU023723|Epl2|StIP1|Statip1|-|18 A2|18|protein-coding	2658.000	2527.000	1867.000	2987.000	894.000
NM_001177377	chrX	64151405	64152198	-	600.0	1	Gm6760|EG627470|RP23-418L18.1|X A6|X|protein-coding	0.000	1.000	0.000	0.000	0.000
NM_152915	chr1	84369839	84696221	-	3617.0	1	Dner|A930026D19Rik|BET|Bret|-|1 C5|1|protein-coding	1.000	0.000	0.000	0.000	0.000
NM_139300	chr16	34784950	35002434	+	7775.0	1	Mylk|9530072E15Rik|A930019C19Rik|AW489456|KRP|MLCK108|MLCK210|Mlck|smMLCK|RP24-532J13.1|16 B3|16|protein-coding	72.000	162.000	12.000	134.000	95.000
NM_021368	chr2	90021138	90022064	-	925.0	1	Olfr1264|MOR236-1|Mor16|Ors16|RP24-314D20.4|2 E1|2|protein-coding	0.000	1.000	0.000	1.000	0.000
NM_176971	chrX	136858151	136868540	-	3756.0	1	Rab9b|9330195C02Rik|RP23-389M3.3|X F1|X|protein-coding	0.000	0.000	1.000	0.000	0.000
NM_013613	chr2	57107226	57115038	-	3162.0	1	Nr4a2|HZF-3|NOT|Nurr1|RNR-1|TINOR|TINUR|RP23-271B15.1|2 C1.1|2 31.66 cM|protein-coding	1863.000	544.000	219.000	1530.000	219.000
NM_022315	chr17	14279506	14404790	+	2817.0	1	Smoc2|1700056C05Rik|5430426J21Rik|Smoc2l|-|17 A2|17 8.95 cM|protein-coding	0.000	10.000	5.000	7.000	0.000
NM_172872	chr4	98754892	98817537	-	4789.0	1	Kank4|AU021071|Ankrd38|BC060737|C130031J23|-|4 C6|4|protein-coding	1.000	0.000	0.000	0.000	0.000
NR_040588	chr3	102720231	102735417	-	586.0	1	Tspan2os|2410057H14Rik|-|3|3|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_021358	chr4	139061409	139074789	-	1357.0	1	Htr6|5-HT6|RP23-65B16.2|4 D3|4 70.57 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_045293	chr13	73344665	73347384	-	1303.0	1	D630045M09Rik|AU019512|-|13 C1|13|ncRNA	0.000	0.000	0.000	0.000	0.000
NR_030677	chr10	81606308	81609836	+	1887.0	1	BC025920|-|-|10 C1|10|pseudo	75.000	82.000	81.000	103.000	68.000
NM_028439	chr1	120121187	120188189	+	488.0	1	3110009E18Rik|-|-|1|1 E2|protein-coding	48.000	39.000	44.000	51.000	44.000
NM_001099321	chrX	135494606	135502913	+	1992.0	2	Gm15023|OTTMUSG00000018782|RP24-142A19.3|X F1|X|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001290692	chr1	175920329	175922225	+	1785.0	1	Becn2|Gm104|-|1 H4|1|protein-coding	1.000	0.000	0.000	0.000	0.000
NM_198176	chr2	130613838	130630027	-	3159.0	1	Fastkd5|C78212|mKIAA1792|-|2 F1|2|protein-coding	529.000	545.000	475.000	790.000	255.000
NM_011063	chr1	172196729	172206781	-	2471.0	1	Pea15a|Mat1|PEA-15|Pea15|Pkcs15|-|1 H3|1 79.54 cM|protein-coding	439.000	631.000	801.000	583.000	961.000
NM_133712	chr7	43781054	43785410	+	1346.0	1	Klk10|2300002A13Rik|NES1|PRSSL1|-|7 B4|7 28.26 cM|protein-coding	0.000	0.000	1.000	0.000	0.000
NM_008299	chr1	88204732	88205748	-	1014.0	1	Dnajb3|Hsj3|MSJ-1|Msj1|-|1 D|1|protein-coding	45.000	39.000	21.000	26.000	9.000
NM_001168498	chr4	135369577	135385672	-	1628.0	1	Ncmap|A330049M08Rik|AA545175|Mp11|RP23-332E2.1|4 D3|4|protein-coding	34.000	44.000	104.000	27.000	40.000
NM_178035	chr11	115283366	115297546	-	1231.0	1	Fads6|BC044804|OTTMUSG00000021749|RP23-117K15.4|11 E2|11|protein-coding	116.000	63.000	42.000	56.000	12.000
NM_199477	chr15	100353200	100361819	+	1775.0	1	Mettl7a2|Gm921|UbiE2|Ubie|-|15 F1|15|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_026732	chr17	45686372	45698495	+	590.0	1	Mrpl14|1110006I11Rik|AI846816|MRP-L32|Rpml32|-|17 B3|17|protein-coding	561.000	749.000	794.000	752.000	332.000
NM_020012	chr18	38296635	38317849	+	3029.0	1	Rnf14|2310075C09Rik|2610005D23Rik|AA986456|AU041447|D18Ertd188e|D7Bwg0165e|Triad2|-|18 B3|18 20.2 cM|protein-coding	1022.000	1246.000	1307.000	1487.000	1010.000
NM_001039483	chr1	167308670	167333978	+	4465.0	1	Tmco1|1190006A08Rik|4930403O06Rik|AA109065|AU022572|ESTM39|-|1 H2.3|1|protein-coding	922.000	999.000	833.000	1178.000	534.000
NM_010211	chrX	56731761	56793346	+	2373.0	1	Fhl1|FHL-1|KyoT|RAM14-1|SLIM|SLIM-1|RP23-71G11.1|X|X A6-A7.1|protein-coding	8.000	0.000	5.000	4.000	0.000
NM_026504	chr5	115279702	115296972	+	1992.0	1	Coq5|1810014G04Rik|D5Ertd33e|-|5 F|5 56.03 cM|protein-coding	713.000	641.000	573.000	818.000	349.000
NM_001113358	chr14	54235485	54253929	-	692.0	1	Dad1|AI323713|RP23-6A14.1|14 C2|14 27.7 cM|protein-coding	3651.000	3209.000	2656.000	3751.000	1819.000
NM_008641	chr4	116306760	116464181	-	5675.0	1	Mast2|MAST205|Mtssk|RP23-276M23.5|4|4 C7|protein-coding	1677.000	1853.000	1725.000	1798.000	1124.000
NM_181584	chrX	74988545	75084905	-	2117.0	1	Gab3|5930433H21Rik|RP23-184H6.3|X A7.3|X|protein-coding	39.000	50.000	99.000	34.000	155.000
NM_173784	chr11	32455372	32518709	+	3027.0	1	Ubtd2|4930571L24|9630054F20Rik|AI645720|RP23-395O6.1|11 A4|11|protein-coding	514.000	511.000	399.000	534.000	258.000
NM_001011839	chr19	12321887	12322825	-	937.0	1	Olfr1437|MOR214-6|-|19 A|19|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001012434	chr7	97453204	97459557	+	2339.0	1	Kctd14|AI449310|D7Ertd760e|-|7 E1|7 53.51 cM|protein-coding	26.000	64.000	42.000	39.000	141.000
NR_105801	chr11	47739592	48074583	-	56.0	1	Mir6380|mmu-mir-6380|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_146769	chr2	87135381	87136319	-	937.0	1	Olfr1110|MOR172-4|RP23-116P4.4|2 E1|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_009012	chr11	53649519	53707319	-	5126.0	1	Rad50|Mrell|Rad50l|RP23-239O19.3|11 A5-B1|11 31.98 cM|protein-coding	1729.000	2072.000	1868.000	2179.000	1071.000
NM_011016	chr4	63362449	63365877	+	766.0	1	Orm2|Agp1|Orm-2|-|4 C1|4 33.96 cM|protein-coding	26.000	56.000	90.000	30.000	20.000
NM_146639	chr2	87737387	87738322	-	934.0	1	Olfr1138|MOR177-8|RP23-16E8.2|2 E1|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_040362	chr2	50296810	50433967	+	716.0	1	Gm13483|OTTMUSG00000012382|-|2|2 28.92 cM|ncRNA	1.000	0.000	0.000	2.000	0.000
NM_181649	chr17	78835516	78848308	+	4195.0	1	Gpatch11|2310002B06Rik|C80922|Ccdc75|L26697|-|17 E3|17|protein-coding	351.000	466.000	413.000	431.000	378.000
NM_139154	chr17	25882114	25919714	-	2457.0	1	Rab40c|RAR3|-|17 A3.3|17|protein-coding	636.000	783.000	588.000	575.000	521.000
NR_003507	chr5	120812635	120824160	+	1831.0	1	Oas1b|Flv|L1|Mmu-L1|Oas1|Oias-2|Oias2|Wnv|-|5 F|5 60.64 cM|protein-coding	86.000	102.000	139.000	78.000	217.000
NR_030416	chr7	142577064	142577147	-	83.0	1	Mir675|Mirn675|mir-675|mmu-mir-675|-|7|7|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_172253	chr12	33429624	33439380	+	2318.0	1	Twistnb|2410173G11|2810024J17Rik|D16Wsu83e|-|12 A2|12|protein-coding	1301.000	1303.000	1068.000	1365.000	352.000
NM_018860	chr10	128548110	128549168	-	443.0	1	Rpl41|1810055P16Rik|2210411K19Rik|-|10 D3|10|protein-coding	3332.000	2762.000	1710.000	3218.000	1536.000
NM_021383	chr1	74506060	74530842	+	3256.0	1	Rqcd1|2610007F23Rik|AI593551|Fl10|-|1 C3|1|protein-coding	2034.000	1999.000	1761.000	2511.000	1001.000
NM_207280	chr1	181509633	181511451	-	1816.0	1	Ccdc121|6530421E24Rik|Gm755|-|1 H5|1|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_053170	chr3	103279293	103358770	+	8848.0	1	Trim33|8030451N04Rik|AI413936|Ecto|Tif1g|-|3 F2.2|3|protein-coding	2632.000	2969.000	3037.000	2796.000	2224.000
NM_027391	chr10	3540279	3554877	+	1533.0	1	Iyd|0610009A07Rik|AI265638|Dehal1|-|10 A1|10|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_145616	chr9	60587235	60688134	-	2968.0	1	Lrrc49|AI430817|AW050057|D430025H09Rik|PGs4|p79|-|9 B|9|protein-coding	38.000	28.000	9.000	51.000	10.000
NM_199301	chr7	140137564	140150786	+	1582.0	1	Mtg1|Gm169|Gtpbp7|-|7 F4|7|protein-coding	369.000	409.000	298.000	474.000	89.000
NM_001159402	chr11	9118507	9136170	+	1244.0	1	Upp1|AI325217|UPase|UdRPase|Up|Upp|RP23-104F14.1|11|11 A1-2|protein-coding	463.000	606.000	324.000	395.000	482.000
NM_021472	chr14	51091077	51106151	+	1518.0	1	Rnase4|C730049F20Rik|Rab1|-|14 C1|14|protein-coding	3.000	22.000	38.000	6.000	100.000
NM_017379	chr6	121210770	121226097	+	1425.0	1	Tuba8|-|-|6 F1|6|protein-coding	91.000	76.000	68.000	114.000	93.000
NM_138745	chr12	76255232	76319820	+	3294.0	1	Mthfd1|Dcs|E430024A07Rik|Mthfd|-|12 D2|12|protein-coding	4621.000	3598.000	2394.000	5823.000	672.000
NM_146215	chr8	110217960	110224489	+	3573.0	1	Cmtr2|AU022703|C730036L12Rik|Ftsjd1|MTr2|-|8 E1|8|protein-coding	1086.000	907.000	572.000	1085.000	206.000
NM_029870	chr17	26715650	26776626	+	7442.0	1	Crebrf|A930001N09Rik|LRF|RP23-478C2.1|17|17 B1|protein-coding	2373.000	2486.000	3109.000	2532.000	3286.000
NM_030714	chr10	127190378	127195709	-	1936.0	1	Dtx3|Deltex3|mg310|-|10 D3|10|protein-coding	704.000	621.000	729.000	914.000	816.000
NM_001128093	chr14	75455982	75526141	+	901.0	1	Siah3|Gm912|-|14 D3|14|protein-coding	0.000	0.000	13.000	0.000	54.000
NR_028528	chr2	130278026	130278088	+	62.0	1	Snord57|MBII-434|-|2|2|snoRNA	12.000	16.000	17.000	25.000	15.000
NM_001003666	chr13	67292451	67306412	-	2110.0	1	Zfp457|Rslcan-6|-|13 B3|13 34.54 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_110572	chr2	45111138	45114084	+	1299.0	1	Zeb2os|Gm13476|OTTMUSG00000012358|RP23-431O5.1|2 B|2|ncRNA	25.000	43.000	35.000	15.000	164.000
NM_028757	chr2	17346734	17731068	-	2971.0	1	Nebl|1200007O21Rik|A630080F05Rik|BB140644|D830029A09Rik|Lnebl|RP23-419K8.1|2|2 A2|protein-coding	21.000	19.000	25.000	35.000	39.000
NM_147055	chr7	104189267	104190205	-	937.0	1	Olfr649|MOR31-7|-|7 E3|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_027993	chr5	45719667	45727578	-	7911.0	1	Gm3414|-|-|5 B3|5|ncRNA	215.000	157.000	243.000	226.000	220.000
NM_018773	chr6	51859165	52012549	-	1624.0	1	Skap2|2610021A10Rik|AA960083|BB137539|RA70|SKAP-HOM|Saps|Scap2|mSKAP55R|-|6 B3|6|protein-coding	460.000	776.000	879.000	613.000	1910.000
NM_010235	chr19	5447698	5455938	+	1699.0	1	Fosl1|AW538199|Fra1|fra-1|-|19 A|19 4.33 cM|protein-coding	419.000	86.000	57.000	308.000	33.000
NM_007778	chr3	107741048	107760469	-	4165.0	1	Csf1|C87615|Csfm|MCSF|op|-|3 F3|3 46.83 cM|protein-coding	162.000	155.000	131.000	178.000	177.000
NM_025454	chr1	93803965	93822100	+	4528.0	1	Ing5|1700001C14Rik|1700027H23Rik|1810018M11Rik|AI225768|-|1 D|1|protein-coding	2876.000	2535.000	2054.000	2952.000	1105.000
NM_007725	chr10	79988600	79995400	+	1773.0	1	Cnn2|AA408047|AI324678|Calpo2|-|10 C1|10|protein-coding	4254.000	6903.000	6430.000	5002.000	8890.000
NM_001033407	chr19	26885925	26888647	+	612.0	1	Gm815|-|-|19 C1|19|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_040581	chr10	43746158	43765836	+	1056.0	1	1700027J07Rik|-|-|10 B2|10|ncRNA	0.000	0.000	3.000	0.000	12.000
NM_001177568	chr2	177464742	177479194	+	4658.0	1	Gm14420|OTTMUSG00000016588|-|2 H4|2|protein-coding	8.000	15.000	29.000	38.000	30.000
NM_146879	chr11	58528929	58534825	-	1078.0	1	Olfr330|MOR275-1|RP23-465K20.12|11 B1|11|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001080548	chr2	6322757	6443820	+	4807.0	1	Usp6nl|AI316785|RNTRE|TRE2NL|mKIAA0019|RP23-112F5.2|2 A1|2|protein-coding	474.000	338.000	453.000	515.000	469.000
NM_022980	chr4	135412309	135433805	-	5055.0	1	Rcan3|AU041093|Csp3|Dscr1l2|RP23-332E2.4|4 D3|4 67.59 cM|protein-coding	231.000	336.000	271.000	252.000	154.000
NM_001110152	chr2	170511230	170519070	+	881.0	1	Pfdn4|0610025M10Rik|1810063B06Rik|C-1|C1|Pfd4|RP23-43J11.1|2 H3|2 91.91 cM|protein-coding	940.000	918.000	731.000	1320.000	243.000
NM_011333	chr11	82035577	82037452	+	801.0	1	Ccl2|AI323594|HC11|JE|MCAF|MCP-1|MCP1|SMC-CF|Scya2|Sigje|RP23-350G1.3|11 C-E1|11 49.82 cM|protein-coding	0.000	3.000	2.000	2.000	12.000
NM_008947	chr12	100112331	100123364	+	1480.0	1	Psmc1|AI325227|P26s4|Rpt2/S4|S4|rpt2|-|12 E|12 50.43 cM|protein-coding	2815.000	2946.000	2248.000	3538.000	961.000
NM_001165957	chr9	99456243	99479899	+	781.0	1	Nme9|Txndc6|-|9 E3.3|9|protein-coding	4.000	6.000	0.000	8.000	14.000
NM_145077	chr9	108986163	108987164	+	999.0	1	Ucn2|Ucn II|Ucn-2|ucn-II|-|9 F2|9|protein-coding	0.000	0.000	0.000	9.000	28.000
NM_028153	chr7	19181170	19206482	+	2291.0	1	Eml2|1600029N02Rik|-|7 A3|7|protein-coding	572.000	670.000	583.000	917.000	537.000
NM_013636	chr5	122158279	122175269	+	2370.0	1	Ppp1cc|PP-1G|PP1|dis2m1|-|5|5 F-G1|protein-coding	224.000	206.000	194.000	238.000	163.000
NM_001166581	chr5	104508352	104522383	+	5178.0	1	BC005561|-|-|5 E5|5|protein-coding	1004.000	1102.000	1126.000	1079.000	261.000
NR_015512	chr12	106685607	106716324	-	1345.0	1	4933406K04Rik|4930426M03Rik|4930485I22Rik|4933427G14Rik|-|12|12|ncRNA	0.000	0.000	0.000	0.000	0.000
NR_029469	chr4	118626404	118631915	+	802.0	1	D4Ertd617e|-|mCG_145480|4 D2.1|4 54.97 cM|ncRNA	81.000	64.000	56.000	112.000	35.000
NM_026346	chr15	58175879	58214892	-	6925.0	1	Fbxo32|4833442G10Rik|AI430017|ATROGIN1|Gm20361|MAFbx|-|15|15 D2|protein-coding	246.000	291.000	393.000	207.000	642.000
NM_009675	chr11	101330606	101339430	+	4390.0	1	Aoc3|SSAO|VAP1|RP23-281C18.16-001|11|11 B2-B5|protein-coding	58.000	12.000	20.000	34.000	0.000
NM_145467	chr14	123660140	123974079	+	2344.0	1	Itgbl1|B930011D01Rik|RP23-30A18.3|14 E5|14|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_017370	chr8	109575128	109579172	-	1338.0	1	Hp|HP-1|preHP2|-|8 D3|8 57.11 cM|protein-coding	1445.000	2616.000	3268.000	1044.000	7786.000
NM_026360	chr6	135011612	135023776	+	1750.0	1	Ddx47|4930588A18Rik|C77285|-|6 G1|6|protein-coding	2604.000	2343.000	2056.000	3008.000	1516.000
NM_008722	chr11	33152498	33163206	-	1409.0	1	Npm1|B23|NO38|Npm|RP23-323L8.2|11 A4|11|protein-coding	13250.000	11382.000	7087.000	15542.000	2151.000
NM_012044	chr4	138877942	138882814	+	844.0	1	Pla2g2e|-|RP23-352K10.7|4 D3|4|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_011220	chr9	50521617	50528641	-	1028.0	1	Pts|PTPS|-|9 A5.3|9|protein-coding	327.000	378.000	596.000	380.000	568.000
NM_133771	chr17	74200700	74294863	-	1488.0	1	Memo1|0610016J10Rik|D930048L02Rik|-|17 E2|17|protein-coding	1163.000	1061.000	927.000	1258.000	453.000
NR_105836	chr10	76008926	76009017	+	91.0	1	Mir6409|mmu-mir-6409|-|-|ncRNA	0.000	0.000	0.000	1.000	0.000
NM_029674	chr8	27197459	27202547	-	1345.0	1	Got1l1|1700083M11Rik|-|8|8 A3|protein-coding	0.000	1.000	0.000	0.000	0.000
NM_019764	chr9	102717804	102733417	+	4179.0	1	Amotl2|AW549739|C79691|Lccp|MASCOT|mKIAA0989|RP24-221A14.1|9 F1|9|protein-coding	7.000	19.000	13.000	8.000	95.000
NM_029308	chr2	173719415	173722086	+	891.0	1	1700010B08Rik|-|-|2 H4|2|protein-coding	3.000	0.000	0.000	0.000	0.000
NM_010062	chr8	84908624	84911461	+	1635.0	1	Dnase2a|Dnase2|-|8 C3|8 41.31 cM|protein-coding	182.000	198.000	243.000	161.000	453.000
NR_104415	chr7	140097815	140102441	-	2410.0	1	Fuom|Fucu|Le51|-|7 F4|7|protein-coding	37.000	62.000	70.000	62.000	37.000
NM_010272	chr10	128884546	128891718	-	1806.0	1	Gdf11|BMP-11|Bmp11|-|10 D3|10|protein-coding	110.000	150.000	83.000	181.000	90.000
NM_133913	chr5	24586750	24592486	+	3711.0	1	Chpf2|2010209O12Rik|AW060945|mKIAA1402|-|5 A3|5|protein-coding	1126.000	1070.000	1014.000	1291.000	1180.000
NM_175200	chr1	59050506	59094900	-	2116.0	1	Als2cr11|1700052H20Rik|4930408G06Rik|-|1 C1.3|1|protein-coding	1.000	1.000	0.000	5.000	0.000
NR_046305	chr12	109651424	109651495	+	71.0	1	DQ267101|-|-|12|12|snoRNA	0.000	0.000	0.000	0.000	0.000
NR_104433	chr8	104250861	104263447	+	776.0	1	Cklf|1700001C14Rik|1810018M11Rik|C32|CKLF1|CKLF3|CKLF4|CKLF5|Cklf2|Cklf6|HSPC224|UCK-1|-|8 D3|8|protein-coding	214.000	229.000	216.000	218.000	186.000
NM_001004191	chr9	48495343	48495975	+	630.0	1	Gm5617|EG434402|-|9 A5.3|9|protein-coding	90.000	83.000	106.000	88.000	112.000
NM_207209	chr3	129983185	130060907	-	4676.0	1	Sec24b|AI605202|SEC24|-|3 G3|3|protein-coding	2449.000	2444.000	2377.000	2658.000	1779.000
NM_145532	chr2	127704390	127729897	-	1961.0	1	Mall|BC012256|BENE|RP23-189N15.3|2 F1|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_010676	chr16	88895968	88896449	-	479.0	1	Krtap19-5|Krtap8-2|-|16 C3.3|16|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_025390	chr7	38262820	38271348	-	1205.0	1	Pop4|1110023P21Rik|Rpp29|-|7|7 B1|protein-coding	622.000	872.000	615.000	1088.000	371.000
NM_013581	chr11	113649529	113662401	+	3013.0	1	Cog1|6030445I15|Ldlb|mKIAA1381|RP23-407I21.1|11 E2|11|protein-coding	1234.000	1341.000	1355.000	1408.000	1090.000
NM_007907	chr10	81176631	81182509	+	3084.0	1	Eef2|Ef-2|-|10 C1|10|protein-coding	84627.000	80078.000	69858.000	95579.000	51655.000
NM_001290555	chrX	99465734	99470735	-	2982.0	1	Pja1|praja-1|RP23-414J22.4|X C3|X 43.38 cM|protein-coding	1944.000	2206.000	2160.000	1812.000	2535.000
NM_008029	chr11	49609679	49652739	+	5807.0	1	Flt4|AI323512|Chy|Flt-4|VEGFR-3|VEGFR3|RP23-58E13.1|11 A5-B1|11 29.69 cM|protein-coding	4.000	2.000	0.000	2.000	0.000
NR_040256	chr2	176289943	176301588	+	1696.0	2	Gm14405|OTTMUSG00000016573|-|2 H4|2|pseudo	0.000	0.000	0.000	0.000	0.000
NR_028053	chr7	80261215	80265378	+	1716.0	1	Ngrn|AW552001|-|7 D3|7|protein-coding	866.000	817.000	809.000	936.000	540.000
NM_001079814	chr16	5013902	5049910	-	3334.0	1	Glyr1|2810419J22Rik|3930401K13Rik|AW545332|Npac|-|16 A1|16 2.49 cM|protein-coding	4855.000	5286.000	4251.000	5854.000	2955.000
NR_105815	chr14	118592369	118592472	-	103.0	1	Mir6391|mmu-mir-6391|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_198163	chr5	115631987	115647158	+	2155.0	1	Rab35|9530019H02Rik|AU040256|H-ray|RAB1C|RAY|-|5 F|5|protein-coding	2710.000	3222.000	2736.000	3250.000	2294.000
NM_146522	chr9	19566435	19567382	-	946.0	1	Olfr854|MOR147-3|-|9 A2-A5|9|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001011871	chr7	108612309	108613253	+	943.0	1	Olfr506|MOR204-23|-|7 E3|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_034074	chrX	53434918	53443576	+	476.0	1	Etd|1700030K02Rik|RP23-66H6.6|X A5|X|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_001161832	chr17	8372396	8422726	+	1740.0	1	T2|brachyury2|mCG_1050367|17 A1|17 4.92 cM|protein-coding	0.000	0.000	5.000	1.000	28.000
NM_177267	chr12	80335847	80436601	-	5696.0	1	Dcaf5|9430020B07Rik|AI325023|AI430035|AI848110|AW124614|BCRG2|BCRP2|Wdr22|-|12 C3|12|protein-coding	1771.000	1968.000	2072.000	1919.000	1585.000
NM_010764	chr8	85083269	85098739	+	4299.0	1	Man2b1|AW107687|LAMAN|-|8 C2|8 41.55 cM|protein-coding	1285.000	1536.000	2178.000	1307.000	3887.000
NM_027475	chr14	20319859	20348121	-	3109.0	1	Ecd|5730461K03Rik|Hsgt1|-|14|14 B|protein-coding	2350.000	2234.000	1526.000	2875.000	898.000
NM_019496	chrX	142853474	142966728	-	3101.0	1	Ammecr1|6230420G18Rik|RP23-340M18.4|X F2|X|protein-coding	292.000	310.000	270.000	418.000	194.000
NM_007980	chr3	122895072	122899506	+	959.0	1	Fabp2|Fabpi|I-FABP|-|3 G1|3 53.74 cM|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_016956	chr7	103812524	103813923	-	625.0	1	Hbb-b2|AI036344|Hbb2|Hbbt2|beta2|-|7 E3|7 54.85 cM|protein-coding	9.000	9.000	0.000	10.000	18.000
NM_001033759	chr19	21778340	21858360	+	6594.0	1	Tmem2|-|-|19 B|19|protein-coding	389.000	355.000	269.000	431.000	524.000
