	chr	start	end	strand	Stat	Parent files	Total subpeaks	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr2-22798593-2	chr2	22740977	22876140	+	1373.8500980000001	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr2-57197	chr2-74741	chr2	22740977	22876140	+	1373.8500980000001	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_019456, intron 1 of 13)	B3|SINE|B2	34231	NM_019456	54519	Mm.14255	NM_019456	ENSMUSG00000026786	Apbb1ip	9930118P07Rik|Prp48	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	protein-coding
Merged-chr6-39337227-2	chr6	39226407	39420766	+	1373.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr6-40508	chr6-50291	chr6	39226407	39420766	+	1373.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	54121	NM_028123	72144	Mm.482167	NM_028123	ENSMUSG00000029924	Slc37a3	2610507O21Rik|AU044904	solute carrier family 37 (glycerol-3-phosphate transporter), member 3	protein-coding
Merged-chr2-158702537-2	chr2	158641479	158768844	+	1369.650024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr2-54831	chr2-72351	chr2	158641479	158768844	+	1369.650024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_153089, intron 2 of 10)	MER58B|DNA|hAT-Charlie	38026	NM_001159662	228852	Mm.150540	NM_153089	ENSMUSG00000037754	Ppp1r16b	ANKRD4|C130078N17Rik|TIMAP|Wdt4	protein phosphatase 1, regulatory (inhibitor) subunit 16B	protein-coding
Merged-chr1-13301492-2	chr1	13214664	13390211	+	1365.150024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr1-29838	chr1-66895	chr1	13214664	13390211	+	1365.150024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001077695, intron 1 of 21)	B3|SINE|B2	71646	NM_001077695	17978	Mm.2537	NM_008678	ENSMUSG00000005886	Ncoa2	9530095N19|D1Ertd433e|GRIP-1|Grip1|KAT13C|SRC-2|TIF-2|TIF2|bHLHe75	nuclear receptor coactivator 2	protein-coding
Merged-chr11-75990271-2	chr11	75914230	76087516	+	1360.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-54536	chr11-61663	chr11	75914230	76087516	+	1360.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_198637, intron 1 of 1)	intron (NM_198637, intron 1 of 1)	961	NM_198637	74230	Mm.271247	NM_198637	ENSMUSG00000053783	1700016K19Rik	-	RIKEN cDNA 1700016K19 gene	protein-coding
Merged-chr5-122262201-2	chr5	122202159	122324665	+	1358.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr5-34289	chr5-57377	chr5	122202159	122324665	+	1358.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NR_104441, intron 1 of 12)	B3A|SINE|B2	1048	NM_001039153	654470	Mm.28804	NM_001039153	ENSMUSG00000038593	Tctn1	G730031O11Rik|Tect1	tectonic family member 1	protein-coding
Merged-chr13-101703776-2	chr13	101622291	101768951	+	1355.650024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr13-32576	chr13-23356	chr13	101622291	101768951	+	1355.650024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001077495, intron 7 of 15)	intron (NM_001077495, intron 7 of 15)	-2991	NM_001024955	18708	Mm.259333	NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	protein-coding
Merged-chr11-106153274-2	chr11	106083632	106228083	+	1355.3500980000001	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-23671	chr11-37828	chr11	106083632	106228083	+	1355.3500980000001	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	TTS (NM_172397)	TTS (NM_172397)	4285	NM_172397	67803	Mm.21687	NM_172397	ENSMUSG00000040699	Limd2	0610025L06Rik|AI413966	LIM domain containing 2	protein-coding
Merged-chr8-81580585-2	chr8	81463878	81667900	+	1354.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr8-35281	chr8-35521	chr8	81463878	81667900	+	1354.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001297596, intron 2 of 24)	Tigger12|DNA|TcMar-Tigger	223327	NM_001297593	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
Merged-chr12-102334065-2	chr12	102270767	102397960	+	1353.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr12-38420	chr12-20705	chr12	102270767	102397960	+	1353.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_177620, intron 3 of 9)	intron (NM_177620, intron 3 of 9)	50722	NM_001161365	217835	Mm.24145	NM_177620	ENSMUSG00000044456	Rin3	6430500K07|C86933	Ras and Rab interactor 3	protein-coding
Merged-chr10-12820364-2	chr10	12709570	12894082	+	1353.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr10-49126	chr10-32970	chr10	12709570	12894082	+	1353.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_011682, intron 1 of 73)	intron (NM_011682, intron 1 of 73)	59909	NM_011682	22288	Mm.331784	NM_011682	ENSMUSG00000019820	Utrn	AA589569|DRP|Dmdl	utrophin	protein-coding
Merged-chr10-68223236-2	chr10	68080479	68304245	+	1351.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr10-26041	chr10-56732	chr10	68080479	68304245	+	1351.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_023598, intron 3 of 9)	intron (NM_023598, intron 3 of 9)	86364	NM_023598	71371	Mm.440357	NM_023598	ENSMUSG00000019947	Arid5b	4930580B11|5430435G07Rik|AI467247|Desrt|Mrf2|Mrf2alpha|Mrf2beta	AT rich interactive domain 5B (MRF1-like)	protein-coding
Merged-chr11-34746768-2	chr11	34693557	34799317	+	1349.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-59974	chr11-54504	chr11	34693557	34799317	+	1349.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_033374, intron 2 of 51)	Lx2B|LINE|L1	37468	NM_033374	94176	Mm.380679	NM_033374	ENSMUSG00000020143	Dock2	AI662014|AW122239|CED-5|Hch|MBC	dedicator of cyto-kinesis 2	protein-coding
Merged-chr10-122768780-2	chr10	122697393	122830944	+	1342.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr10-41614	chr10-59620	chr10	122697393	122830944	+	1342.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_176919, intron 1 of 8)	intron (NM_176919, intron 1 of 8)	84853	NR_106182	102466884	0	NR_106182	0	Mir8104	mmu-mir-8104	microRNA mir-8104	ncRNA
Merged-chr11-58184927-2	chr11	58092720	58239696	+	1340.75	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-61310	chr11-74520	chr11	58092720	58239696	+	1340.75	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_172558, intron 2 of 27)	intron (NM_172558, intron 2 of 27)	2331	NM_001166670	216766	Mm.275349	NM_172558	ENSMUSG00000037275	Gemin5	AA407055|AA407208|AI451603|BB194447|C330013N08	gem (nuclear organelle) associated protein 5	protein-coding
Merged-chr4-149687769-2	chr4	149645715	149737134	+	1336.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr4-52259	chr4-58540	chr4	149645715	149737134	+	1336.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001029837, intron 1 of 23)	intron (NM_001029837, intron 1 of 23)	7284	NM_001164049	18707	Mm.229108	NM_008840	ENSMUSG00000039936	Pik3cd	2410099E07Rik|2610208K16Rik|AW545373|p110delta	phosphatidylinositol 3-kinase catalytic delta polypeptide	protein-coding
Merged-chr11-79078023-2	chr11	79002435	79153280	+	1331.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-42067	chr11-68436	chr11	79002435	79153280	+	1331.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_013571, intron 1 of 17)	ID_B1|SINE|B4	54260	NR_045873	790910	Mm.440410	NR_045873	0	Gm11201	ENSMUSG00000072637|OTTMUSG00000000169	predicted gene 11201	ncRNA
Merged-chr7-58725021-2	chr7	58655682	58795878	+	1330.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr7-42870	chr7-39058	chr7	58655682	58795878	+	1330.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_009728, intron 1 of 20)	intron (NM_009728, intron 1 of 20)	67578	NM_009728	11982	Mm.135129	NM_009728	ENSMUSG00000025324	Atp10a	Atp10c|pfatp	ATPase, class V, type 10A	protein-coding
Merged-chr1-165688742-2	chr1	165634719	165742240	+	1327.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr1-49432	chr1-34370	chr1	165634719	165742240	+	1327.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001038846, intron 1 of 5)	RLTR17D_Mm|LTR|ERVK	19615	NM_001038846	226594	Mm.265552	NM_178593	ENSMUSG00000040723	Rcsd1	A430105K13Rik|BC025872	RCSD domain containing 1	protein-coding
Merged-chr11-104633445-2	chr11	104579209	104703723	+	1326.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-56696	chr11-63328	chr11	104579209	104703723	+	1326.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_016780, intron 8 of 14)	RMER17A2|LTR|ERVK	33466	NM_016780	16416	Mm.87150	NM_016780	ENSMUSG00000020689	Itgb3	CD61|GP3A|INGRB3	integrin beta 3	protein-coding
Merged-chr3-101268270-2	chr3	101191154	101312487	+	1324.650024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr3-21680	chr3-24792	chr3	101191154	101312487	+	1324.650024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	36119	NM_013486	12481	Mm.22842	NM_013486	ENSMUSG00000027863	Cd2	LFA-2|Ly-37|Ly37	CD2 antigen	protein-coding
Merged-chr11-115644607-2	chr11	115563920	115718156	+	1316.849976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-17123	chr11-44795	chr11	115563920	115718156	+	1316.849976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-12743	NM_001252396	67283	Mm.383426	NM_026071	ENSMUSG00000020744	Slc25a19	2900089E13Rik|DNC|MUP1|TPC	solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19	protein-coding
Merged-chr2-43771030-2	chr2	43722936	43822791	+	1310.3999019999999	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr2-58971	chr2-29129	chr2	43722936	43822791	+	1310.3999019999999	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_153820, intron 1 of 13)	intron (NM_153820, intron 1 of 13)	24036	NM_001025377	76117	Mm.217350	NM_153820	ENSMUSG00000049744	Arhgap15	5830480G12Rik	Rho GTPase activating protein 15	protein-coding
Merged-chr17-47537520-2	chr17	47484732	47612628	+	1301.3500980000001	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr17-42066	chr17-5640	chr17	47484732	47612628	+	1301.3500980000001	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001081636, intron 1 of 6)	(TTCC)n|Simple_repeat|Simple_repeat	43629	NM_001081635	12445	Mm.27291	NM_007632	ENSMUSG00000034165	Ccnd3	9230106B05Rik|AA682053|AL024085|AW146355|C78795	cyclin D3	protein-coding
Merged-chr2-34969837-2	chr2	34893913	35051711	+	1300.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr2-44507	chr2-61593	chr2	34893913	35051711	+	1300.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	LTR78|LTR|ERV1	-11040	NM_009421	22029	Mm.239514	NM_009421	ENSMUSG00000026875	Traf1	4732496E14Rik	TNF receptor-associated factor 1	protein-coding
Merged-chr11-83086868-2	chr11	83038112	83125996	+	1296.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr11-4671	chr11-56434	chr11	83038112	83125996	+	1296.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	SRV_MM-int|LTR|ERVK	16942	NM_011408	20556	Mm.278689	NM_011408	ENSMUSG00000072620	Slfn2	Shlf2	schlafen 2	protein-coding
Merged-chr13-49263876-2	chr13	49178081	49326948	+	1295.6499019999999	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr13-30672	chr13-42747	chr13	49178081	49326948	+	1295.6499019999999	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	RMER15|LTR|ERVL	-3808	NM_028340	66329	Mm.34308	NM_025491	ENSMUSG00000021384	Susd3	1700017I11Rik|2810440J20Rik	sushi domain containing 3	protein-coding
Merged-chr6-87510367-2	chr6	87462660	87556862	+	1290.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr6-27824	chr6-51741	chr6	87462660	87556862	+	1290.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001037727, intron 1 of 10)	L1M4c|LINE|L1	-13434	NR_104483	232201	Mm.119564	NM_175476	0	Arhgap25	A130039I20Rik	Rho GTPase activating protein 25	protein-coding
Merged-chr9-14231941-2	chr9	14128434	14314771	+	1289.8999019999999	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr9-35479	chr9-42892	chr9	14128434	14314771	+	1289.8999019999999	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-54699	NM_030261	75747	Mm.325126	NM_030261	ENSMUSG00000032009	Sesn3	5630400E15Rik|BC003348|SEST3	sestrin 3	protein-coding
Merged-chr10-127124578-2	chr10	127055543	127171295	+	1287.75	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr10-48366	chr10-47798	chr10	127055543	127171295	+	1287.75	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_177614, intron 5 of 13)	L1MB4|LINE|L1	7741	NM_001171026	216440	Mm.295246	NM_177614	ENSMUSG00000040462	Os9	4632413K17Rik|AU022351	amplified in osteosarcoma	protein-coding
Merged-chr19-34236457-2	chr19	34162157	34313613	+	1282.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr19-14423	chr19-14016	chr19	34162157	34313613	+	1282.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_029682, intron 8 of 10)	intron (NM_029682, intron 8 of 10)	17488	NM_007392	11475	Mm.213025	NM_007392	0	Acta2	0610041G09Rik|Actvs|SMalphaA|a-SMA|alphaSMA	actin, alpha 2, smooth muscle, aorta	protein-coding
Merged-chr15-9582255-2	chr15	9504640	9649967	+	1279.150024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr15-42469	chr15-44270	chr15	9504640	9649967	+	1279.150024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-47427	NM_008372	16197	Mm.389	NM_008372	ENSMUSG00000003882	Il7r	CD127|IL-7Ralpha	interleukin 7 receptor	protein-coding
Merged-chr3-9816362-2	chr3	9747787	9899899	+	1277.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr3-17776	chr3-30327	chr3	9747787	9899899	+	1277.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001195031, intron 1 of 8)	intron (NM_001195031, intron 1 of 8)	9836	NM_001195031	94212	Mm.23897	NM_053182	ENSMUSG00000027508	Pag1	Cbp|F730007C19Rik|Pag	phosphoprotein associated with glycosphingolipid microdomains 1	protein-coding
Merged-chr8-36138978-2	chr8	36081817	36197515	+	1276.75	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr8-39674	chr8-38404	chr8	36081817	36197515	+	1276.75	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	exon (NM_172911, exon 5 of 6)	exon (NM_172911, exon 5 of 6)	44838	NM_172911	244418	Mm.244971	NM_172911	ENSMUSG00000050271	D8Ertd82e	9830148H23|Sgk223|mFLJ00269	DNA segment, Chr 8, ERATO Doi 82, expressed	protein-coding
Merged-chr4-129786105-2	chr4	129731493	129840947	+	1276.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr4-13407	chr4-57044	chr4	129731493	129840947	+	1276.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	B2_Mm2|SINE|B2	-34259	NM_008974	19244	Mm.193688	NM_008974	ENSMUSG00000028788	Ptp4a2	Prl-2	protein tyrosine phosphatase 4a2	protein-coding
Merged-chr3-105812176-2	chr3	105727405	105911271	+	1275.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr3-32573	chr3-48339	chr3	105727405	105911271	+	1275.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	3771	NR_045845	433637	Mm.331285	NR_045845	0	Gm5547	EG433637	predicted gene 5547	ncRNA
Merged-chr6-113671096-2	chr6	113604285	113749658	+	1274.849976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	2	chr6-12297	chr6-22440	chr6	113604285	113749658	+	1274.849976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_172161, intron 8 of 12)	intron (NM_172161, intron 8 of 12)	-20528	NM_001033463	381801	Mm.333322	NM_001033463	ENSMUSG00000056952	Tatdn2	AI646012|mKIAA0218	TatD DNase domain containing 2	protein-coding
